year,team_raw,jersey,name,position,position_group,born,age_at_tournament,club_name,club_country,caps_at_start,national_goals_at_start
1982,Argentina,19.0,Enzo Trossero,DF,DF,1953-05-23,29.0,Independiente,Argentina,,
1982,Argentina,20.0,Jorge Valdano,FW,FW,1955-10-04,26.0,Zaragoza,Spain,,
1982,Argentina,21.0,José Daniel Valencia,MF,MF,1955-10-03,26.0,Talleres de Córdoba,,,
1982,Argentina,22.0,José Van Tuyne,DF,DF,1954-12-13,27.0,Racing,Argentina,,
1982,Austria,1.0,Friedrich Koncilia,GK,GK,1948-02-25,34.0,Austria Wien,Austria,,
1982,Austria,2.0,Bernd Krauss,DF,DF,1957-05-08,25.0,Rapid Wien,Austria,,
1982,Austria,3.0,Erich Obermayer,DF,DF,1953-01-23,29.0,Austria Wien,Austria,,
1982,Austria,4.0,Josef Degeorgi,DF,DF,1960-01-19,22.0,Admira/Wacker,,,
1982,Austria,5.0,Bruno Pezzey,DF,DF,1955-02-03,27.0,Eintracht Frankfurt,Germany,,
1982,Austria,6.0,Roland Hattenberger,MF,MF,1948-12-07,33.0,SSW Innsbruck,,,
1982,Austria,7.0,Walter Schachner,FW,FW,1957-02-01,25.0,Cesena,Italy,,
1982,Austria,8.0,Herbert Prohaska,MF,MF,1955-08-08,26.0,Internazionale,Italy,,
1982,Austria,9.0,Hans Krankl,FW,FW,1953-02-14,29.0,Rapid Wien,Austria,,
1982,Austria,10.0,Reinhold Hintermaier,MF,MF,1956-02-14,26.0,1. FC Nürnberg,Germany,,
1982,Austria,11.0,Kurt Jara,MF,MF,1950-10-14,31.0,Grasshopper,Switzerland,,
1982,Austria,12.0,Anton Pichler,DF,DF,1955-10-04,26.0,Sturm Graz,Austria,,
1982,Austria,13.0,Max Hagmayr,FW,FW,1956-11-16,25.0,VÖEST Linz,,,
1982,Austria,14.0,Ernst Baumeister,MF,MF,1957-01-22,25.0,Austria Wien,Austria,,
1982,Austria,15.0,Johann Dihanich,MF,MF,1958-10-24,23.0,Austria Wien,Austria,,
1982,Austria,16.0,Gerald Messlender,DF,DF,1961-10-01,20.0,Admira/Wacker,,,
1982,Austria,17.0,Johann Pregesbauer,DF,DF,1955-06-09,27.0,Rapid Wien,Austria,,
1982,Austria,18.0,Gernot Jurtin,FW,FW,1955-09-09,26.0,Sturm Graz,Austria,,
1982,Austria,19.0,Heribert Weber,DF,DF,1955-06-28,26.0,Rapid Wien,Austria,,
1982,Austria,20.0,Kurt Welzl,FW,FW,1954-11-06,27.0,Valencia,Spain,,
1982,Austria,21.0,Herbert Feurer,GK,GK,1954-01-14,28.0,Rapid Wien,Austria,,
1982,Austria,22.0,Klaus Lindenberger,GK,GK,1957-05-28,25.0,LASK,,,
1982,Belgium,1.0,Jean-Marie Pfaff,GK,GK,1953-12-04,28.0,Beveren,,,
1982,Belgium,2.0,Eric Gerets,DF,DF,1954-05-18,28.0,Standard Liège,Belgium,,
1982,Belgium,3.0,Luc Millecamps,DF,DF,1951-09-10,30.0,KSV Waregem,,,
1982,Belgium,4.0,Walter Meeuws,DF,DF,1951-07-11,30.0,Standard Liège,Belgium,,
1982,Belgium,5.0,Michel Renquin,DF,DF,1955-11-03,26.0,Anderlecht,Belgium,,
1982,Belgium,6.0,Franky Vercauteren,FW,FW,1956-10-28,25.0,Anderlecht,Belgium,,
1982,Belgium,7.0,Jos Daerden,MF,MF,1954-11-26,27.0,Standard Liège,Belgium,,
1982,Belgium,8.0,Wilfried Van Moer,MF,MF,1945-03-01,37.0,Beveren,,,
1982,Belgium,9.0,Erwin Vandenbergh,FW,FW,1959-01-26,23.0,Lierse,,,
1982,Belgium,10.0,Ludo Coeck,MF,MF,1955-09-25,26.0,Anderlecht,Belgium,,
1982,Belgium,11.0,Jan Ceulemans,MF,MF,1957-02-28,25.0,Club Brugge,Belgium,,
1982,Belgium,12.0,Theo Custers,GK,GK,1950-08-10,31.0,Espanyol,Spain,,
1982,Belgium,13.0,François Van Der Elst,FW,FW,1954-12-01,27.0,West Ham United,England,,
1982,Belgium,14.0,Marc Baecke,DF,DF,1956-07-24,25.0,Beveren,,,
1982,Belgium,15.0,Maurits De Schrijver,DF,DF,1951-06-26,30.0,Lokeren,Belgium,,
1982,Belgium,16.0,Gerard Plessers,DF,DF,1959-03-30,23.0,Standard Liège,Belgium,,
1982,Belgium,17.0,René Verheyen,MF,MF,1952-03-20,30.0,Lokeren,Belgium,,
1982,Belgium,18.0,Raymond Mommens,FW,FW,1958-12-27,23.0,Lokeren,Belgium,,
1982,Belgium,19.0,Marc Millecamps,MF,MF,1950-10-09,31.0,KSV Waregem,,,
1982,Belgium,20.0,Guy Vandersmissen,MF,MF,1957-12-25,24.0,Standard Liège,Belgium,,
1982,Belgium,21.0,Alexandre Czerniatynski,FW,FW,1960-07-28,21.0,Antwerp,Belgium,,
1982,Belgium,22.0,Jacky Munaron,GK,GK,1956-09-08,25.0,Anderlecht,Belgium,,
1982,Brazil,1.0,Waldir Peres,GK,GK,1951-02-02,31.0,São Paulo,Brazil,,
1982,Brazil,2.0,Leandro,DF,DF,1959-03-17,23.0,Flamengo,Brazil,,
1982,Brazil,3.0,Oscar,DF,DF,1954-06-20,27.0,São Paulo,Brazil,,
1982,Brazil,4.0,Luizinho,DF,DF,1958-10-22,23.0,Atlético Mineiro,Brazil,,
1982,Brazil,5.0,Toninho Cerezo,MF,MF,1955-04-21,27.0,Atlético Mineiro,Brazil,,
1982,Brazil,6.0,Júnior,DF,DF,1954-06-29,27.0,Flamengo,Brazil,,
1982,Brazil,7.0,Paulo Isidoro,MF,MF,1953-08-03,28.0,Grêmio,Brazil,,
1982,Brazil,8.0,Sócrates,MF,MF,1954-02-19,28.0,Corinthians,Brazil,,
1982,Brazil,9.0,Serginho,FW,FW,1953-12-23,28.0,São Paulo,Brazil,,
1982,Brazil,10.0,Zico,MF,MF,1953-03-03,29.0,Flamengo,Brazil,,
1982,Brazil,11.0,Éder,FW,FW,1957-05-25,25.0,Atlético Mineiro,Brazil,,
1982,Brazil,12.0,Paulo Sérgio,GK,GK,1954-07-24,27.0,Botafogo,Brazil,,
1982,Brazil,13.0,Edevaldo,DF,DF,1958-01-28,24.0,Internacional,Brazil,,
1982,Brazil,14.0,Juninho,DF,DF,1958-08-29,23.0,Ponte Preta,,,
1982,Brazil,15.0,Falcão,MF,MF,1953-10-16,28.0,Roma,Italy,,
1982,Brazil,16.0,Edinho,DF,DF,1955-06-05,27.0,Fluminense,Brazil,,
1982,Brazil,17.0,Pedrinho,DF,DF,1957-10-22,24.0,Vasco da Gama,Brazil,,
1982,Brazil,18.0,Batista,MF,MF,1955-03-08,27.0,Grêmio,Brazil,,
1982,Brazil,19.0,Renato,MF,MF,1957-02-21,25.0,São Paulo,Brazil,,
1982,Brazil,20.0,Roberto Dinamite,FW,FW,1954-04-13,28.0,Vasco da Gama,Brazil,,
1982,Brazil,21.0,Dirceu,MF,MF,1952-06-15,29.0,Atlético Madrid,Spain,,
1982,Brazil,22.0,Carlos,GK,GK,1956-03-04,26.0,Ponte Preta,,,
1982,Cameroon,1.0,Thomas N'Kono,GK,GK,1956-07-20,25.0,Canon Yaoundé,Cameroon,,
1982,Cameroon,2.0,Michel Kaham,DF,DF,1952-06-01,30.0,Stade Quimperois,,,
1982,Cameroon,3.0,Edmond Enoka,DF,DF,1955-12-17,26.0,Dragon Douala,,,
1982,Cameroon,4.0,René N'Djeya,DF,DF,1953-10-09,28.0,Union Douala,,,
1982,Cameroon,5.0,Elie Onana,DF,DF,1951-10-13,30.0,Fédéral SFC du Noun,,,
1982,Cameroon,6.0,Emmanuel Kundé,DF,DF,1956-07-15,25.0,Canon Yaoundé,Cameroon,,
1982,Cameroon,7.0,Ephrem M'Bom,MF,MF,1954-07-18,27.0,Canon Yaoundé,Cameroon,,
1982,Cameroon,8.0,Grégoire M'Bida,MF,MF,1955-01-27,27.0,Canon Yaoundé,Cameroon,,
1982,Cameroon,9.0,Roger Milla,FW,FW,1952-05-20,30.0,Bastia,,,
1982,Cameroon,10.0,Jean-Pierre Tokoto,MF,MF,1948-01-26,34.0,Philadelphia Fever,,,
1982,Cameroon,11.0,Charles Toubé,MF,MF,1958-01-22,24.0,Tonnerre Yaoundé,Cameroon,,
1982,Cameroon,12.0,Joseph-Antoine Bell,GK,GK,1954-10-08,27.0,Africa Sports,,,
1982,Cameroon,13.0,Paul Bahoken,FW,FW,1955-07-07,26.0,Cannes,,,
1982,Cameroon,14.0,Théophile Abega,MF,MF,1954-07-09,27.0,Canon Yaoundé,Cameroon,,
1982,Cameroon,15.0,François N'Doumbé,DF,DF,1954-01-30,28.0,Union Douala,,,
1982,Cameroon,16.0,Ibrahim Aoudou,DF,DF,1955-08-23,26.0,Cannes,,,
1982,Cameroon,17.0,Joseph Kamga,MF,MF,1957-07-25,24.0,Union Douala,,,
1982,Cameroon,18.0,Jacques N'Guea,FW,FW,1955-11-08,26.0,Canon Yaoundé,Cameroon,,
1982,Cameroon,19.0,Joseph Enanga,MF,MF,1958-08-28,23.0,Union Douala,,,
1982,Cameroon,20.0,Oscar Eyobo,FW,FW,1961-10-23,20.0,Dynamo Douala,,,
1982,Cameroon,21.0,Ernest Ebongué,FW,FW,1962-05-15,20.0,Tonnerre Yaoundé,Cameroon,,
1982,Cameroon,22.0,Simon Tchobang,GK,GK,1951-08-31,30.0,Dynamo Douala,,,
1982,Chile,1.0,Oscar Wirth,GK,GK,1955-11-05,26.0,Cobreloa,Chile,,
1982,Chile,2.0,Lizardo Garrido,DF,DF,1957-08-25,24.0,Colo-Colo,Chile,,
1982,Chile,3.0,René Valenzuela,DF,DF,1955-04-20,27.0,Universidad Católica,Chile,,
1982,Chile,4.0,Vladimir Bigorra,DF,DF,1954-08-09,27.0,Universidad de Chile,Chile,,
1982,Chile,5.0,Elías Figueroa,DF,DF,1946-10-25,35.0,Colo-Colo,Chile,,
1982,Chile,6.0,Rodolfo Dubó,MF,MF,1953-09-11,28.0,Palestino,,,
1982,Chile,7.0,Eduardo Bonvallet,MF,MF,1955-01-13,27.0,Universidad Católica,Chile,,
1982,Chile,8.0,Carlos Rivas,MF,MF,1953-05-24,29.0,Colo-Colo,Chile,,
1982,Chile,9.0,Juan Carlos Letelier,FW,FW,1959-05-20,23.0,Cobreloa,Chile,,
1982,Chile,10.0,Mario Soto,DF,DF,1950-07-10,31.0,Cobreloa,Chile,,
1982,Chile,11.0,Gustavo Moscoso,FW,FW,1955-08-10,26.0,Universidad Católica,Chile,,
1982,Chile,12.0,Marco Cornez,GK,GK,1957-10-15,24.0,Palestino,,,
1982,Chile,13.0,Carlos Caszely,FW,FW,1950-07-05,31.0,Colo-Colo,Chile,,
1982,Chile,14.0,Raúl Ormeño,MF,MF,1958-06-21,23.0,Colo-Colo,Chile,,
1982,Chile,15.0,Patricio Yáñez,FW,FW,1961-01-20,21.0,San Luis,,,
1982,Chile,16.0,Manuel Rojas,MF,MF,1954-06-13,28.0,Universidad Católica,Chile,,
1982,Chile,17.0,Oscar Rojas,DF,DF,1958-11-15,23.0,Colo-Colo,Chile,,
1982,Chile,18.0,Mario Galindo,DF,DF,1951-08-10,30.0,Colo-Colo,Chile,,
1982,Chile,19.0,Enzo Escobar,DF,DF,1951-11-10,30.0,Cobreloa,Chile,,
1982,Chile,20.0,Miguel Ángel Neira,MF,MF,1952-10-09,29.0,Universidad Católica,Chile,,
1982,Chile,21.0,Miguel Ángel Gamboa,FW,FW,1951-06-21,30.0,Universidad de Chile,Chile,,
1982,Chile,22.0,Mario Osbén,GK,GK,1950-07-14,31.0,Colo-Colo,Chile,,
1982,Czechoslovakia,1.0,Stanislav Seman,GK,GK,1952-08-08,29.0,Lokomotiva Košice,,,
1982,Czechoslovakia,2.0,František Jakubec,DF,DF,1956-04-12,26.0,Bohemians Praha,,,
1982,Czechoslovakia,3.0,Jan Fiala,DF,DF,1956-05-19,26.0,Dukla Prague,Czechia,,
1982,Czechoslovakia,4.0,Ladislav Jurkemik,DF,DF,1953-07-20,28.0,Inter Bratislava,,,
1982,Czechoslovakia,5.0,Jozef Barmoš,DF,DF,1954-08-28,27.0,Inter Bratislava,,,
1982,Czechoslovakia,6.0,Rostislav Vojáček,DF,DF,1949-02-23,33.0,Baník Ostrava,,,
1982,Czechoslovakia,7.0,Ján Kozák,MF,MF,1954-04-17,28.0,Dukla Prague,Czechia,,
1982,Czechoslovakia,8.0,Antonín Panenka,MF,MF,1948-12-02,33.0,Rapid Wien,Austria,,
1982,Czechoslovakia,9.0,Ladislav Vízek,FW,FW,1955-01-22,27.0,Dukla Prague,Czechia,,
1982,Czechoslovakia,10.0,Tomáš Kříž,FW,FW,1959-03-17,23.0,Dukla Prague,Czechia,,
1982,Czechoslovakia,11.0,Zdeněk Nehoda,FW,FW,1952-05-09,30.0,Dukla Prague,Czechia,,
1982,Czechoslovakia,12.0,Přemysl Bičovský,MF,MF,1950-08-18,31.0,Bohemians Praha,,,
1982,Czechoslovakia,13.0,Jan Berger,MF,MF,1955-11-27,26.0,Sparta Prague,Czechia,,
1982,Czechoslovakia,14.0,Libor Radimec,DF,DF,1950-05-22,32.0,Baník Ostrava,,,
1982,Czechoslovakia,15.0,Jozef Kukučka,DF,DF,1957-03-13,25.0,Plastika Nitra,,,
1982,Czechoslovakia,16.0,Pavel Chaloupka,MF,MF,1959-05-04,23.0,Bohemians Praha,,,
1982,Czechoslovakia,17.0,František Štambachr,MF,MF,1953-02-13,29.0,Dukla Prague,Czechia,,
1982,Czechoslovakia,18.0,Petr Janečka,FW,FW,1957-11-25,24.0,Zbrojovka Brno,,,
1982,Czechoslovakia,19.0,Marián Masný,FW,FW,1950-08-13,31.0,Slovan Bratislava,Slovakia,,
1982,Czechoslovakia,20.0,Vlastimil Petržela,FW,FW,1953-07-20,28.0,Slavia Prague,Czechia,,
1982,Czechoslovakia,21.0,Zdeněk Hruška,GK,GK,1954-07-25,27.0,Bohemians Praha,,,
1982,Czechoslovakia,22.0,Karel Stromšík,GK,GK,1958-04-12,24.0,Dukla Prague,Czechia,,
1982,El Salvador,1.0,Luis Guevara Mora,GK,GK,1961-09-02,20.0,Platense Municipal,,,
1982,El Salvador,2.0,Mario Castillo,DF,DF,1951-10-30,30.0,Santiagueño,,,
1982,El Salvador,3.0,José Francisco Jovel,DF,DF,1951-05-26,31.0,Águila,,,
1982,El Salvador,4.0,Carlos Recinos,DF,DF,1950-06-30,31.0,FAS,El Salvador,,
1982,El Salvador,5.0,Ramón Fagoaga,DF,DF,1952-01-12,30.0,Atlético Marte,El Salvador,,
1982,El Salvador,6.0,Joaquín Ventura,MF,MF,1956-10-27,25.0,Santiagueño,,,
1982,El Salvador,7.0,Silvio Aquino,MF,MF,1949-06-30,32.0,Deportivo Jalapa,,,
1982,El Salvador,8.0,José Luis Rugamas,MF,MF,1953-06-05,29.0,Atlético Marte,El Salvador,,
1982,El Salvador,9.0,Ever Hernández,FW,FW,1958-12-11,23.0,Santiagueño,,,
1982,El Salvador,10.0,Norberto Huezo,MF,MF,1956-06-06,26.0,Atlético Marte,El Salvador,,
1982,El Salvador,11.0,Jorge González,FW,FW,1958-03-13,24.0,FAS,El Salvador,,
1982,El Salvador,12.0,Francisco Osorto,DF,DF,1957-03-20,25.0,Santiagueño,,,
1982,El Salvador,13.0,José María Rivas,FW,FW,1958-05-12,24.0,Independiente de San Vicente,,,
1982,El Salvador,14.0,Luis Ramírez Zapata,FW,FW,1954-01-06,28.0,Atlético Marte,El Salvador,,
1982,El Salvador,15.0,Jaime Rodríguez,DF,DF,1959-01-17,23.0,Bayer Uerdingen,Germany,,
1982,El Salvador,16.0,Mauricio Alfaro,MF,MF,1956-02-13,26.0,Platense Municipal,,,
1982,El Salvador,17.0,Guillermo Ragazzone,FW,FW,1956-01-05,26.0,Atlético Marte,El Salvador,,
1982,El Salvador,18.0,Miguel Ángel Díaz,DF,DF,1957-01-27,25.0,CD Chalatenango,,,
1982,El Salvador,19.0,Eduardo Hernández,GK,GK,1958-01-31,24.0,Santiagueño,,,
1982,El Salvador,20.0,José Luis Munguía,GK,GK,1959-10-28,22.0,FAS,El Salvador,,
1982,England,1.0,Ray Clemence,GK,GK,1948-08-05,33.0,Tottenham Hotspur,England,,
1982,England,2.0,Viv Anderson,DF,DF,1956-08-29,25.0,Nottingham Forest,England,,
1982,England,3.0,Trevor Brooking,MF,MF,1948-10-02,33.0,West Ham United,England,,
1982,England,4.0,Terry Butcher,DF,DF,1958-12-28,23.0,Ipswich Town,England,,
1982,England,5.0,Steve Coppell,MF,MF,1955-07-09,26.0,Manchester United,England,,
1982,England,6.0,Steve Foster,DF,DF,1957-09-24,24.0,Brighton & Hove Albion,England,,
1982,England,7.0,Kevin Keegan,FW,FW,1951-02-14,31.0,Southampton,England,,
1982,England,8.0,Trevor Francis,FW,FW,1954-04-19,28.0,Manchester City,England,,
1982,England,9.0,Glenn Hoddle,MF,MF,1957-10-27,24.0,Tottenham Hotspur,England,,
1982,England,10.0,Terry McDermott,MF,MF,1951-12-08,30.0,Liverpool,England,,
1982,England,11.0,Paul Mariner,FW,FW,1953-05-22,29.0,Ipswich Town,England,,
1982,England,12.0,Mick Mills,DF,DF,1949-01-04,33.0,Ipswich Town,England,,
1982,England,13.0,Joe Corrigan,GK,GK,1948-11-18,33.0,Manchester City,England,,
1982,England,14.0,Phil Neal,DF,DF,1951-02-20,31.0,Liverpool,England,,
1982,England,15.0,Graham Rix,MF,MF,1957-10-23,24.0,Arsenal,England,,
1982,England,16.0,Bryan Robson,MF,MF,1957-01-11,25.0,Manchester United,England,,
1982,England,17.0,Kenny Sansom,DF,DF,1958-09-26,23.0,Arsenal,England,,
1982,England,18.0,Phil Thompson,DF,DF,1954-01-21,28.0,Liverpool,England,,
1982,England,19.0,Ray Wilkins,MF,MF,1956-09-14,25.0,Manchester United,England,,
1982,England,20.0,Peter Withe,FW,FW,1951-08-30,30.0,Aston Villa,England,,
1982,England,21.0,Tony Woodcock,FW,FW,1955-12-06,26.0,1. FC Köln,Germany,,
1982,England,22.0,Peter Shilton,GK,GK,1949-09-18,32.0,Nottingham Forest,England,,
1982,France,1.0,Dominique Baratelli,GK,GK,1947-12-26,34.0,Paris Saint-Germain,France,,
1982,France,2.0,Manuel Amoros,DF,DF,1962-02-01,20.0,Monaco,France,,
1982,France,3.0,Patrick Battiston,DF,DF,1957-03-12,25.0,Saint-Étienne,France,,
1982,France,4.0,Maxime Bossis,DF,DF,1955-06-26,26.0,Nantes,France,,
1982,France,5.0,Gérard Janvion,DF,DF,1953-08-21,28.0,Saint-Étienne,France,,
1982,France,6.0,Christian Lopez,DF,DF,1953-03-15,29.0,Saint-Étienne,France,,
1982,France,7.0,Philippe Mahut,DF,DF,1956-03-04,26.0,Metz,France,,
1982,France,8.0,Marius Trésor,DF,DF,1950-01-15,32.0,Bordeaux,France,,
1982,France,9.0,Bernard Genghini,MF,MF,1958-01-18,24.0,Sochaux,France,,
1982,France,10.0,Michel Platini,MF,MF,1955-06-21,26.0,Saint-Étienne,France,,
1982,France,11.0,René Girard,MF,MF,1954-04-04,28.0,Bordeaux,France,,
1982,France,12.0,Alain Giresse,MF,MF,1952-08-02,29.0,Bordeaux,France,,
1982,France,13.0,Jean-François Larios,MF,MF,1956-08-27,25.0,Saint-Étienne,France,,
1982,France,14.0,Jean Tigana,MF,MF,1955-06-23,26.0,Bordeaux,France,,
1982,France,15.0,Bruno Bellone,FW,FW,1962-03-14,20.0,Monaco,France,,
1982,France,16.0,Alain Couriol,FW,FW,1958-10-24,23.0,Monaco,France,,
1982,France,17.0,Bernard Lacombe,FW,FW,1952-08-15,29.0,Bordeaux,France,,
1982,France,18.0,Dominique Rocheteau,FW,FW,1955-01-14,27.0,Paris Saint-Germain,France,,
1982,France,19.0,Didier Six,FW,FW,1954-08-21,27.0,VfB Stuttgart,Germany,,
1982,France,20.0,Gérard Soler,FW,FW,1954-03-29,28.0,Bordeaux,France,,
1982,France,21.0,Jean Castaneda,GK,GK,1957-03-20,25.0,Saint-Étienne,France,,
1982,France,22.0,Jean-Luc Ettori,GK,GK,1955-07-29,26.0,Monaco,France,,
1982,Honduras,1.0,Salomón Nazar,GK,GK,1953-09-07,28.0,Universidad,,,
1982,Honduras,2.0,Efraín Gutiérrez,DF,DF,1954-05-07,28.0,Universidad,,,
1982,Honduras,3.0,Jaime Villegas,DF,DF,1950-07-05,31.0,Real España,Honduras,,
1982,Honduras,4.0,Fernando Bulnes,DF,DF,1946-10-21,35.0,Olimpia,Honduras,,
1982,Honduras,5.0,Anthony Costly,DF,DF,1954-12-13,27.0,Real España,Honduras,,
1982,Honduras,6.0,Ramón Maradiaga,MF,MF,1954-10-30,27.0,Motagua,Honduras,,
1982,Honduras,7.0,Antonio Laing,FW,FW,1958-12-27,23.0,Platense,,,
1982,Honduras,8.0,Francisco Javier Toledo,MF,MF,1959-09-30,22.0,Marathón,Honduras,,
1982,Honduras,9.0,Armando Betancourt,FW,FW,1957-10-10,24.0,Real España,Honduras,,
1982,Honduras,10.0,Roberto Figueroa,FW,FW,1959-12-15,22.0,Vida,,,
1982,Honduras,11.0,David Buezo,MF,MF,1955-05-05,27.0,Motagua,Honduras,,
1982,Honduras,12.0,Domingo Drummond,DF,DF,1957-04-14,25.0,Platense,,,
1982,Honduras,13.0,Prudencio Norales,MF,MF,1956-04-20,26.0,Olimpia,Honduras,,
1982,Honduras,14.0,Juan Cruz,MF,MF,1959-06-24,22.0,Universidad,,,
1982,Honduras,15.0,Héctor Zelaya,DF,DF,1957-07-12,24.0,Motagua,Honduras,,
1982,Honduras,16.0,Roberto Bailey,FW,FW,1952-08-10,29.0,Marathón,Honduras,,
1982,Honduras,17.0,Luis Cruz,DF,DF,1949-06-12,33.0,Motagua,Honduras,,
1982,Honduras,18.0,Carlos Caballero,MF,MF,1958-12-05,23.0,Real España,Honduras,,
1982,Honduras,19.0,Celso Güity,FW,FW,1955-08-07,26.0,Marathón,Honduras,,
1982,Honduras,20.0,Gilberto Yearwood,MF,MF,1956-03-15,26.0,Valladolid,Spain,,
1982,Honduras,21.0,Julio César Arzú,GK,GK,1954-06-05,28.0,Real España,Honduras,,
1982,Honduras,22.0,Jimmy Steward,GK,GK,1946-12-09,35.0,Real España,Honduras,,
1982,Hungary,1.0,Ferenc Mészáros,GK,GK,1950-04-11,32.0,Sporting CP,Portugal,,
1982,Hungary,2.0,Győző Martos,DF,DF,1949-12-15,32.0,Waterschei Thor,,,
1982,Hungary,3.0,László Bálint,DF,DF,1948-02-01,34.0,Toulouse,France,,
1982,Hungary,4.0,József Tóth,DF,DF,1951-12-02,30.0,Újpest,Hungary,,
1982,Hungary,5.0,Sándor Müller,MF,MF,1948-09-21,33.0,Hércules,,,
1982,Hungary,6.0,Imre Garaba,DF,DF,1958-07-29,23.0,Budapest Honvéd,Hungary,,
1982,Hungary,7.0,László Fazekas,FW,FW,1947-10-15,34.0,Antwerp,Belgium,,
1982,Hungary,8.0,Tibor Nyilasi,FW,FW,1955-01-18,27.0,Ferencváros,Hungary,,
1982,Hungary,9.0,András Törőcsik,FW,FW,1955-05-01,27.0,Újpest,Hungary,,
1982,Hungary,10.0,László Kiss,FW,FW,1956-03-12,26.0,Vasas,Hungary,,
1982,Hungary,11.0,Gábor Pölöskei,FW,FW,1960-10-11,21.0,Ferencváros,Hungary,,
1982,Hungary,12.0,Lázár Szentes,FW,FW,1955-12-12,26.0,Győr,,,
1982,Hungary,13.0,Tibor Rab,DF,DF,1955-10-02,26.0,Ferencváros,Hungary,,
1982,Hungary,14.0,Sándor Sallai,DF,DF,1960-03-26,22.0,Debrecen,,,
1982,Hungary,15.0,Béla Bodonyi,FW,FW,1956-09-14,25.0,Budapest Honvéd,Hungary,,
1982,Hungary,16.0,Ferenc Csongrádi,MF,MF,1956-03-29,26.0,Videoton,,,
1982,Hungary,17.0,Károly Csapó,MF,MF,1952-02-23,30.0,Tatabányai Bányász,,,
1982,Hungary,18.0,Attila Kerekes,DF,DF,1954-04-04,28.0,Békéscsabai Előre,,,
1982,Hungary,19.0,József Varga,DF,DF,1954-10-09,27.0,Budapest Honvéd,Hungary,,
1982,Hungary,20.0,József Csuhay,DF,DF,1957-07-12,24.0,Videoton,,,
1982,Hungary,21.0,Béla Katzirz,GK,GK,1953-07-27,28.0,Pécs,,,
1982,Hungary,22.0,Imre Kiss,GK,GK,1957-08-10,24.0,Tatabányai Bányász,,,
1982,Italy,1.0,Dino Zoff,GK,GK,1942-02-28,40.0,Juventus,Italy,,
1982,Italy,2.0,Franco Baresi,DF,DF,1960-05-08,22.0,Milan,Italy,,
1982,Italy,3.0,Giuseppe Bergomi,DF,DF,1963-12-22,18.0,Internazionale,Italy,,
1982,Italy,4.0,Antonio Cabrini,DF,DF,1957-10-08,24.0,Juventus,Italy,,
1982,Italy,5.0,Fulvio Collovati,DF,DF,1957-05-09,25.0,Milan,Italy,,
1982,Italy,6.0,Claudio Gentile,DF,DF,1953-09-27,28.0,Juventus,Italy,,
1982,Italy,7.0,Gaetano Scirea,DF,DF,1953-05-25,29.0,Juventus,Italy,,
1982,Italy,8.0,Pietro Vierchowod,DF,DF,1959-04-06,23.0,Fiorentina,Italy,,
1982,Italy,9.0,Giancarlo Antognoni,MF,MF,1954-04-01,28.0,Fiorentina,Italy,,
1982,Italy,10.0,Giuseppe Dossena,MF,MF,1958-05-02,24.0,Torino,Italy,,
1982,Italy,11.0,Giampiero Marini,MF,MF,1951-02-25,31.0,Internazionale,Italy,,
1982,Italy,12.0,Ivano Bordon,GK,GK,1951-04-13,31.0,Internazionale,Italy,,
1982,Italy,13.0,Gabriele Oriali,MF,MF,1952-11-25,29.0,Internazionale,Italy,,
1982,Italy,14.0,Marco Tardelli,MF,MF,1954-09-24,27.0,Juventus,Italy,,
1982,Italy,15.0,Franco Causio,MF,MF,1949-02-01,33.0,Udinese,Italy,,
1982,Italy,16.0,Bruno Conti,MF,MF,1955-03-13,27.0,Roma,Italy,,
1982,Italy,17.0,Daniele Massaro,FW,FW,1961-05-23,21.0,Fiorentina,Italy,,
1982,Italy,18.0,Alessandro Altobelli,FW,FW,1955-11-28,26.0,Internazionale,Italy,,
1982,Italy,19.0,Francesco Graziani,FW,FW,1952-12-16,29.0,Fiorentina,Italy,,
1982,Italy,20.0,Paolo Rossi,FW,FW,1956-09-23,25.0,Juventus,Italy,,
1982,Italy,21.0,Franco Selvaggi,FW,FW,1953-05-15,29.0,Cagliari,Italy,,
1982,Italy,22.0,Giovanni Galli,GK,GK,1958-04-29,24.0,Fiorentina,Italy,,
1982,Kuwait,1.0,Ahmed Al-Tarabulsi,GK,GK,1947-03-22,35.0,Kuwait SC,,,
1982,Kuwait,2.0,Naeem Saad,DF,DF,1957-10-01,24.0,Al Tadamun,,,
1982,Kuwait,3.0,Mahboub Juma'a,DF,DF,1955-09-17,26.0,Al-Salmiya,,,
1982,Kuwait,4.0,Jamal Al-Qabendi,DF,DF,1959-04-07,23.0,Kazma,,,
1982,Kuwait,5.0,Waleed Al-Jasem,DF,DF,1959-11-18,22.0,Kuwait SC,,,
1982,Kuwait,6.0,Saad Al-Houti,MF,MF,1954-05-24,28.0,Kuwait SC,,,
1982,Kuwait,7.0,Fathi Kameel,FW,FW,1955-05-23,27.0,Al Tadamun,,,
1982,Kuwait,8.0,Abdullah Al-Buloushi,FW,FW,1960-02-16,22.0,Al-Arabi,,,
1982,Kuwait,9.0,Jasem Yaqoub,FW,FW,1953-10-25,28.0,Al-Qadsia,,,
1982,Kuwait,10.0,Abdulaziz Al-Anberi,FW,FW,1954-01-03,28.0,Kuwait SC,,,
1982,Kuwait,11.0,Nassir Al-Ghanem,MF,MF,1961-04-04,21.0,Kazma,,,
